province,year,clean_ratio,fossil_ratio,total_energy_consumption_std_coal_mt
上海,2003,0.700442749538186,0.29955725046181403,47.68150428
上海,2004,0.722518369406587,0.277481630593413,53.97528196
上海,2005,0.739141326114798,0.260858673885202,60.5513023
上海,2006,0.773281296944107,0.22671870305589303,68.34182560246221
上海,2007,0.7758492645201029,0.22415073547989706,74.01777626639999
上海,2008,0.781279940860363,0.218720059139637,75.68373893969999
上海,2009,0.7897316882468151,0.21026831175318494,78.3722209048
上海,2010,0.786069058057811,0.21393094194218898,75.19280168899999
上海,2011,0.780140233870833,0.21985976612916702,77.98421761499999
上海,2012,0.803407356101811,0.19659264389818898,78.399137401
上海,2013,0.819833550683288,0.180166449316712,81.29934966
上海,2014,0.814270706143172,0.18572929385682801,80.55706119
上海,2015,0.832993147861556,0.16700685213844402,81.47341367
上海,2016,0.852403393277632,0.14759660672236796,83.05925848999999
上海,2017,0.876320037880587,0.12367996211941301,83.91164592999999
上海,2018,0.86691303844453,0.13308696155546995,81.11315146
上海,2019,0.866352483414327,0.13364751658567298,83.51955259
上海,2020,0.859637555746511,0.14036244425348898,77.43370499
上海,2021,0.870117182709939,0.12988281729006101,79.8161521
上海,2022,0.8627072508054741,0.13729274919452594,74.11479579
云南,2003,0.360836376634328,0.639163623365672,30.75345932
云南,2004,0.3489341013793,0.6510658986207001,23.26435931
云南,2005,0.335761508340865,0.6642384916591351,47.27589636
云南,2006,0.348859599999364,0.651140400000636,48.9898285635
云南,2007,0.373710351635156,0.626289648364844,53.1978682827842
云南,2008,0.373322566677766,0.626677433322234,56.1405585556
云南,2009,0.3684041826122379,0.631595817387762,62.2648492171
云南,2010,0.4140681568254309,0.585931843174569,62.6656460686
云南,2011,0.441281663094398,0.558718336905602,66.53067909399999
云南,2012,0.448356648027301,0.551643351972699,72.3992791846
云南,2013,0.433781604564845,0.566218395435155,71.12358566
云南,2014,0.462719236881743,0.537280763118257,73.66290857
云南,2015,0.473867329016185,0.526132670983815,69.96376188
云南,2016,0.471486232962547,0.528513767037453,72.14414382
云南,2017,0.4915064347071199,0.5084935652928801,74.92939632
云南,2018,0.5033331716914,0.4966668283086,80.34404459000001
云南,2019,0.517898621637118,0.482101378362882,84.36866484000001
云南,2020,0.534626885662882,0.46537311433711803,89.16621928
云南,2021,0.563556934131358,0.436443065868642,88.00260855
云南,2022,0.5976832637295291,0.40231673627047093,87.84566314
内蒙古,2003,0.305262318932188,0.694737681067812,37.65828973
内蒙古,2004,0.316607404805416,0.6833925951945841,57.47397671
内蒙古,2005,0.3572506920956619,0.642749307904338,62.89533716
内蒙古,2006,0.431269719472129,0.568730280527871,69.817627646
内蒙古,2007,0.485729279125771,0.514270720874229,78.250150153
内蒙古,2008,0.454607896695415,0.545392103304585,94.60845692
内蒙古,2009,0.449023106432415,0.550976893567585,111.10548846
内蒙古,2010,0.512841424251289,0.487158575748711,110.7777664621
内蒙古,2011,0.4474775166113329,0.552522483388667,127.3263841213
内蒙古,2012,0.472392203021752,0.527607796978248,126.2268666908
内蒙古,2013,0.469457399071291,0.530542600928709,128.42231263
内蒙古,2014,0.485969615965841,0.514030384034159,128.16033051
内蒙古,2015,0.474531211015804,0.525468788984196,133.40454044
内蒙古,2016,0.474850906552188,0.525149093447812,136.04535475999998
内蒙古,2017,0.515078209486457,0.484921790513543,134.8970819
内蒙古,2018,0.5075605668094769,0.4924394331905231,158.08896874
内蒙古,2019,0.502693197018397,0.497306802981603,172.30702278
内蒙古,2020,0.51889298238218,0.48110701761782004,185.15552517
内蒙古,2021,0.5597364487851579,0.44026355121484206,181.09371732
内蒙古,2022,0.5590173482276459,0.4409826517723541,189.9471443
北京,2003,0.570674374345755,0.42932562565424504,38.38751068
北京,2004,0.616871587710105,0.383128412289895,41.00944617
北京,2005,0.6428061833681931,0.35719381663180694,44.02533498
北京,2006,0.66809467053915,0.33190532946085005,46.79812706
北京,2007,0.6941708388323591,0.3058291611676409,50.0572761
北京,2008,0.756916173111034,0.24308382688896601,49.0957533919
北京,2009,0.763541956597942,0.236458043402058,50.6956722915
北京,2010,0.783378076277844,0.21662192372215605,48.954703189700005
北京,2011,0.836329086241937,0.16367091375806297,49.4434247869
北京,2012,0.8484359147081539,0.15156408529184606,51.397571468200006
北京,2013,0.875318036569688,0.12468196343031202,49.12319129
北京,2014,0.889589511083207,0.11041048891679295,50.23513585
北京,2015,0.9088019788479073,0.09119802115209275,50.88046617
北京,2016,0.9272472738101007,0.07275272618989925,50.422480670000006
北京,2017,0.9558550575656056,0.044144942434394374,50.99582321
北京,2018,0.9836766655541742,0.016323334445825788,52.98615567
北京,2019,0.9878618970854436,0.012138102914556415,53.34418686
北京,2020,0.9893755973996126,0.01062440260038744,47.89496117
北京,2021,0.9931778217441344,0.0068221782558656185,50.73403494
北京,2022,0.9943625801136758,0.005637419886324158,47.82957725999999
吉林,2003,0.476738535268942,0.5232614647310581,33.66521666
吉林,2004,0.474018854631802,0.525981145368198,36.80592797
吉林,2005,0.4854824157020769,0.514517584297923,47.1818297
吉林,2006,0.4625906883481859,0.5374093116518142,54.428270679
吉林,2007,0.497940510695452,0.502059489304548,60.365995456
吉林,2008,0.465886568463808,0.534113431536192,58.3342520039
吉林,2009,0.449693145315886,0.550306854684114,60.814356
吉林,2010,0.450418675848824,0.549581324151176,63.47846329
吉林,2011,0.429636913723468,0.570363086276532,71.45801529
吉林,2012,0.447736318369949,0.552263681630051,71.45008682
吉林,2013,0.4928398092123089,0.507160190787691,70.88679339000001
吉林,2014,0.506486373783933,0.493513626216067,69.23352091
吉林,2015,0.5275027408656869,0.47249725913431306,67.22657949
吉林,2016,0.5397085048677159,0.46029149513228407,64.10124263
吉林,2017,0.6082479782028469,0.39175202179715307,62.21764745
吉林,2018,0.662132168840821,0.33786783115917896,54.25635343
吉林,2019,0.647530841896331,0.35246915810366897,54.72135392999999
吉林,2020,0.6864677821736991,0.3135322178263009,53.79525325
吉林,2021,0.711077357733185,0.28892264226681497,53.0789015
吉林,2022,0.718799556995608,0.28120044300439195,48.50799762
四川,2003,0.459812197633999,0.540187802366001,57.33518927
四川,2004,0.464007060720501,0.535992939279499,63.61969433
四川,2005,0.523080085190532,0.47691991480946805,61.61195456
四川,2006,0.535782204894995,0.46421779510500505,67.19495702
四川,2007,0.544914287207573,0.45508571279242704,77.79726936
四川,2008,0.4735559461579329,0.5264440538420672,90.96886655
四川,2009,0.481675094121583,0.518324905878417,101.6208860856
四川,2010,0.492995922728877,0.5070040772711231,121.50170423
四川,2011,0.603146817605989,0.396853182394011,133.36121331
四川,2012,0.56131841786223,0.43868158213777,141.9654522
四川,2013,0.596450402152639,0.403549597847361,138.0872823
四川,2014,0.625369472303582,0.374630527696418,142.669625
四川,2015,0.651828765662356,0.34817123433764396,143.11715895999998
四川,2016,0.6982785205490329,0.30172147945096706,139.2832426
四川,2017,0.717252972550921,0.282747027449079,143.73690184
四川,2018,0.7054880274711339,0.2945119725288661,132.97728096999998
四川,2019,0.7216565682681431,0.27834343173185694,138.27068356
四川,2020,0.741908942824886,0.25809105717511405,136.1269728
四川,2021,0.76269943934651,0.23730056065349003,142.61100554
四川,2022,0.7951419041365511,0.20485809586344894,140.42339698
天津,2003,0.642197330397957,0.357802669602043,25.65660533
天津,2004,0.606414289550085,0.39358571044991497,28.87410937
天津,2005,0.621555669848046,0.378444330151954,30.79920451
天津,2006,0.593991087673015,0.406008912326985,33.66501706
天津,2007,0.59349860008421,0.40650139991579004,37.21267406
天津,2008,0.592315327430128,0.40768467256987195,41.500621074
天津,2009,0.573748179961745,0.426251820038255,46.37722574
天津,2010,0.687167773640371,0.31283222635962904,47.023490678
天津,2011,0.6925285250991791,0.30747147490082094,50.84931838000001
天津,2012,0.686087146697512,0.31391285330248797,56.1297667
天津,2013,0.665495903329629,0.33450409667037095,54.62183914
天津,2014,0.6808819199298,0.31911808007020004,56.55173391
天津,2015,0.712939104289747,0.28706089571025295,57.95092668
天津,2016,0.736479616197639,0.263520383802361,57.67929919
天津,2017,0.764308131565847,0.23569186843415302,55.4866281
天津,2018,0.773938679622901,0.22606132037709903,56.20816347
天津,2019,0.777969857155974,0.222030142844026,58.13112321
天津,2020,0.772990962035123,0.22700903796487704,57.41815188
天津,2021,0.812369650578712,0.18763034942128798,56.7849088
天津,2022,0.820658060765862,0.179341939234138,56.31068546
宁夏,2003,0.3231929582346,0.6768070417654,22.0021644
宁夏,2004,0.613615072638639,0.386384927361361,20.17326145
宁夏,2005,0.425911730313835,0.574088269686165,15.46185921
宁夏,2006,0.484950915080127,0.515049084919873,17.020678391
宁夏,2007,0.571862255438716,0.42813774456128395,18.610272087
宁夏,2008,0.500198365355701,0.49980163464429905,20.488043316
宁夏,2009,0.49711866019368,0.50288133980632,21.7416093071
宁夏,2010,0.5190177802969931,0.4809822197030069,24.0028907828
宁夏,2011,0.519144253376022,0.480855746623978,27.678981736300003
宁夏,2012,0.531045072512662,0.468954927487338,28.9137907484
宁夏,2013,0.522195431383875,0.47780456861612497,30.341122610000003
宁夏,2014,0.502909899449629,0.49709010055037095,32.21444817
宁夏,2015,0.479161097301785,0.520838902698215,36.56689395
宁夏,2016,0.485804294901102,0.514195705098898,37.23431674
宁夏,2017,0.44147605375273,0.55852394624727,43.01153009
宁夏,2018,0.446733865821763,0.553266134178237,45.81568219
宁夏,2019,0.46004291676125,0.53995708323875,48.92344014
宁夏,2020,0.475464991243787,0.5245350087562131,53.91042054
宁夏,2021,0.470309880264072,0.5296901197359281,56.40388991
宁夏,2022,0.486396376930878,0.513603623069122,59.99113588
安徽,2003,0.2683365087067599,0.73166349129324,45.83486112
安徽,2004,0.311058663932203,0.688941336067797,45.28199492
安徽,2005,0.6794768078284921,0.32052319217150793,97.59782042
安徽,2006,0.346898184086285,0.653101815913715,53.286012
安徽,2007,0.349946563720559,0.650053436279441,56.92984669256109
安徽,2008,0.3669096760617509,0.633090323938249,59.353197441800006
安徽,2009,0.383640677493733,0.616359322506267,63.1822936044
安徽,2010,0.3728906169407889,0.6271093830592112,69.8486749036
安徽,2011,0.395413871218404,0.604586128781596,76.4191201927
安徽,2012,0.440372496010106,0.559627503989894,82.6512366757
安徽,2013,0.478886786828729,0.521113213171271,87.49249013000001
安徽,2014,0.4956299555907429,0.5043700444092571,90.45739539
安徽,2015,0.501452669419,0.498547330581,93.67825413
安徽,2016,0.521962282872984,0.47803771712701604,95.49636425
安徽,2017,0.5615274600635061,0.43847253993649393,96.540272
安徽,2018,0.5998847992692959,0.40011520073070406,97.1530296
安徽,2019,0.612449780280386,0.387550219719614,99.9982186
安徽,2020,0.600973748088807,0.399026251911193,108.06021928
安徽,2021,0.625536219534625,0.374463780465375,111.12903373
安徽,2022,0.6522768208088949,0.34772317919110507,113.6353041
山东,2003,0.4928757009554529,0.507124299044547,91.71011645
山东,2004,0.4980206712276099,0.5019793287723902,109.52745346
山东,2005,0.474471214356398,0.525528785643602,169.58859952999998
山东,2006,0.492067401707971,0.5079325982920291,184.98081095
山东,2007,0.507830075901199,0.492169924098801,204.1687595206
山东,2008,0.493181958899893,0.506818041100107,221.001137156
山东,2009,0.5036744880089861,0.49632551199101393,231.7216173431
山东,2010,0.5037102120431429,0.4962897879568571,243.839988033
山东,2011,0.515136999236542,0.484863000763458,260.7983071288
山东,2012,0.510942779309606,0.48905722069039403,276.4874302586
山东,2013,0.5248332727370411,0.47516672726295894,255.25354399
山东,2014,0.512890843720506,0.487109156279494,266.55161714
山东,2015,0.578953451804604,0.421046548195396,260.49924829
山东,2016,0.636934237824951,0.36306576217504904,255.74604866
山东,2017,0.656424143034119,0.343575856965881,252.77105131
山东,2018,0.69755145379135,0.30244854620865,271.69006517
山东,2019,0.700040099525453,0.299959900474547,291.38990719000003
山东,2020,0.697645687032457,0.302354312967543,299.20360577
山东,2021,0.726297143059889,0.273702856940111,314.58278822
山东,2022,0.75069597211674,0.24930402788326,331.0334918
山西,2003,0.197687588330348,0.8023124116696521,73.25455853
山西,2004,0.2223660757533769,0.777633924246623,78.90786874999999
山西,2005,0.247239901919186,0.752760098080814,82.88052754
山西,2006,0.266706844201425,0.733293155798575,91.32367185
山西,2007,0.293096793711565,0.7069032062884351,95.79235407
山西,2008,0.305901762282155,0.6940982377178451,105.7233823
山西,2009,0.310961467529402,0.689038532470598,106.268532473
山西,2010,0.3462650605706699,0.6537349394293301,108.81532303
山西,2011,0.3484226685798069,0.6515773314201931,118.47344769
山西,2012,0.349943875478564,0.650056124521436,124.62310272
山西,2013,0.3748260061109489,0.625173993889051,125.72078749
山西,2014,0.380398618834433,0.619601381165567,126.22120345
山西,2015,0.400346841053426,0.599653158946574,124.15193523
山西,2016,0.398673187495329,0.601326812504671,127.10090944
山西,2017,0.429154894059539,0.570845105940461,128.28915963
山西,2018,0.4522035422323199,0.5477964577676802,126.4794343
山西,2019,0.467930604813607,0.5320693951863931,132.64815614
山西,2020,0.471787995393753,0.5282120046062471,131.46534735
山西,2021,0.475306303990052,0.524693696009948,138.20306501
山西,2022,0.541284334141635,0.458715665858365,142.30140590000002
广东,2003,0.7199037864759901,0.28009621352400993,91.45785367
广东,2004,0.765977237002154,0.23402276299784597,96.52880938
广东,2005,0.777737176642016,0.22226282335798397,117.67144822
广东,2006,0.767668289094827,0.23233171090517302,132.66641028
广东,2007,0.762036645762298,0.23796335423770199,146.98665973636
广东,2008,0.741138658334261,0.25886134166573904,156.94275765
广东,2009,0.746376790881608,0.253623209118392,170.29826111
广东,2010,0.745636163038039,0.25436383696196097,166.35549949
广东,2011,0.734080759886774,0.265919240113226,179.65074790999998
广东,2012,0.7412221709851661,0.2587778290148339,181.84334786
广东,2013,0.771406653700082,0.228593346299918,173.64128647
广东,2014,0.7607993255151431,0.23920067448485693,179.39322852
广东,2015,0.774607600799048,0.225392399200952,190.81410479
广东,2016,0.67687930440246,0.32312069559754,125.04910351
广东,2017,0.810311269344321,0.18968873065567904,197.14056787
广东,2018,0.828372844514038,0.17162715548596197,204.81567046
广东,2019,0.824492681775974,0.175507318224026,209.75654128
广东,2020,0.826879066905744,0.17312093309425602,212.51438854
广东,2021,0.86546325297957,0.13453674702042995,220.60882597
广东,2022,0.860820733904631,0.13917926609536901,216.26865175
广西,2003,0.475653691443759,0.524346308556241,27.90792877
广西,2004,0.483421403025728,0.516578596974272,32.5906668
广西,2005,0.432049703436469,0.567950296563531,36.46733282
广西,2006,0.419193730076152,0.580806269923848,41.61048305
广西,2007,0.45253000178485,0.5474699982151501,47.580322876
广西,2008,0.460122665094308,0.539877334905692,50.51749542100001
广西,2009,0.4337683710726919,0.5662316289273082,56.1270233
广西,2010,0.5009587416932799,0.4990412583067201,57.41007759
广西,2011,0.5179069799639611,0.48209302003603893,65.0486052
广西,2012,0.517499346363428,0.482500653636572,69.672524372
广西,2013,0.516835943945557,0.483164056054443,67.40465451
广西,2014,0.538136171435459,0.461863828564541,71.50203776000001
广西,2015,0.55925553722843,0.44074446277157,71.34901197
广西,2016,0.553411075335667,0.446588924664333,74.98864224
广西,2017,0.576137729966826,0.423862270033174,78.20285511
广西,2018,0.59682352965428,0.40317647034572,74.4160292
广西,2019,0.612911899084019,0.387088100915981,76.56171067999999
广西,2020,0.572143726781133,0.427856273218867,84.39612426
广西,2021,0.5822941282019001,0.4177058717980999,89.33893129
广西,2022,0.586520353689046,0.413479646310954,90.5022203
新疆,2003,0.611177599885339,0.38882240011466096,29.74568131
