province,year,emission_per_gdp,clean_ratio,green_rate
上海,2005,0.016910565272299147,0.739141326114798,
上海,2006,0.015264391671736235,0.773281296944107,0.373
上海,2007,0.013260799044415983,0.7758492645201029,0.376
上海,2008,0.011975089926998523,0.781279940860363,
上海,2009,0.01106571893851893,0.7897316882468151,
上海,2010,0.010671799385377897,0.786069058057811,0.382
上海,2011,0.009874241348851984,0.780140233870833,0.382
上海,2012,0.008997812138180298,0.803407356101811,0.3829999999999999
上海,2013,0.008720660445867208,0.819833550683288,0.384
上海,2014,0.007480213951335856,0.814270706143172,0.384
上海,2015,0.007020582868867047,0.832993147861556,0.385
上海,2016,0.0062882857429911515,0.852403393277632,0.386
上海,2017,0.005705737980886422,0.876320037880587,0.391
上海,2018,0.005047556524660876,0.86691303844453,0.362
上海,2019,0.004793898798358568,0.866352483414327,0.368
云南,2005,0.011122878492776468,0.335761508340865,
云南,2006,0.011259281397668144,0.348859599999364,0.258
云南,2007,0.009006798662935286,0.373710351635156,0.31
云南,2008,0.00813998659821595,0.373322566677766,0.32
云南,2009,0.007214380727067813,0.3684041826122379,0.363
云南,2010,0.00640330354673801,0.4140681568254309,0.373
云南,2011,0.005486076739680218,0.441281663094398,0.387
云南,2012,0.005007893240816254,0.448356648027301,0.3929999999999999
云南,2013,0.007533597854082035,0.433781604564845,0.3779999999999999
云南,2014,0.004758043947229563,0.462719236881743,0.381
云南,2016,0.003279962405647347,0.471486232962547,0.3779999999999999
云南,2017,0.00250246479889957,0.4915064347071199,0.389
云南,2018,0.002784315136453061,0.5033331716914,0.3979999999999999
云南,2019,0.003967262586097845,0.517898621637118,0.397
内蒙,2005,,,
内蒙,2006,,,
内蒙,2007,,,
内蒙,2008,,,
内蒙,2009,,,
内蒙,2010,,,
内蒙,2011,,,
内蒙,2012,,,
内蒙,2013,,,
内蒙,2014,,,
内蒙,2015,,,
内蒙,2016,,,
内蒙,2017,,,
内蒙,2018,,,
内蒙,2019,,,
北京,2005,0.012572059525597418,0.6428061833681931,
北京,2006,0.011215807712410647,0.66809467053915,0.444
北京,2007,0.009588638029012667,0.6941708388323591,0.362
北京,2008,0.008153533910855102,0.756916173111034,0.372
北京,2009,0.007527711230450466,0.763541956597942,0.477
北京,2010,0.006811822889012322,0.783378076277844,
北京,2011,0.005399037235072597,0.836329086241937,0.456
北京,2012,0.005007999891734909,0.8484359147081539,0.462
北京,2013,0.004325897932264196,0.875318036569688,0.471
北京,2014,0.003955273013165363,0.889589511083207,0.491
北京,2015,0.0035631343602090105,0.9088019788479073,0.484
北京,2016,0.0031640619033618308,0.9272472738101007,0.484
北京,2017,0.0027313017155007166,0.9558550575656056,0.484
北京,2018,0.0025143786396983154,0.9836766655541742,0.484
北京,2019,0.002334191934473428,0.9878618970854436,0.485
吉林,2005,0.031549854645154286,0.4854824157020769,
吉林,2006,0.03257435031256077,0.4625906883481859,0.316
吉林,2007,0.03732743975084974,0.497940510695452,0.313
吉林,2008,0.03496217806648496,0.465886568463808,0.315
吉林,2009,0.03077201270058229,0.449693145315886,0.3279999999999999
吉林,2010,0.02697814180582075,0.450418675848824,0.341
吉林,2011,0.026852308130072416,0.429636913723468,0.342
吉林,2012,0.024027313242691268,0.447736318369949,0.3389999999999999
吉林,2013,0.02064688081250823,0.4928398092123089,0.314
吉林,2014,0.020329780155109348,0.506486373783933,0.358
吉林,2015,0.019162664556883747,0.5275027408656869,0.361
吉林,2016,0.017365651042758643,0.5397085048677159,0.35
吉林,2017,0.015448056063254136,0.6082479782028469,0.358
吉林,2018,0.009780072420139065,0.662132168840821,0.376
吉林,2019,0.006854466526743282,0.647530841896331,0.392
四川,2005,0.011069072367193959,0.523080085190532,
四川,2006,0.012264346291512587,0.535782204894995,0.335
四川,2007,0.01436694543774598,0.544914287207573,0.342
四川,2008,0.011914653211185355,0.4735559461579329,0.353
四川,2009,0.012868843327098292,0.481675094121583,0.364
四川,2010,0.011459541425412355,0.492995922728877,0.379
四川,2011,0.012984294972867379,0.603146817605989,0.382
