province,year,emission_total,emission_per_gdp,per_capita_t,is_imputed_emission
天津,2017,143.99104296205374,0.011548663236237286,10.212130706528635,0
天津,2018,154.33680316698954,0.011508139016709258,11.15956638951479,0
天津,2019,158.46653470137085,0.01124099358038269,11.441627054250603,0
宁夏,2003,11.826499344349187,,,0
宁夏,2004,23.813519310914263,,,0
宁夏,2005,33.014315741493,,5.539314721727013,0
宁夏,2006,13.635965909967902,,2.257610249994686,0
宁夏,2007,21.517423318293584,,3.527446445621899,0
宁夏,2008,26.55835428449544,,4.297468330824505,0
宁夏,2009,88.35094330583144,,14.136150928933029,0
宁夏,2010,59.54455850473866,,9.40672330248636,0
宁夏,2011,155.22130976195453,,23.953905827462115,0
宁夏,2012,161.53253913828547,,24.51176618183391,0
宁夏,2013,178.3468256134714,,26.778802644665372,0
宁夏,2014,145.44870726916758,,21.452611691617637,0
宁夏,2015,134.051893229499,,19.598230004312718,0
宁夏,2016,49.58069168571056,,7.13391247276411,0
宁夏,2017,50.10668901473562,,7.107331775139805,0
宁夏,2018,198.5565511920307,,27.96571143549728,0
宁夏,2019,196.77625585920396,,27.44438714912189,0
安徽,2003,46.95570923986832,,,0
安徽,2004,49.56444800972599,,,0
安徽,2005,71.13248593747831,0.012345746209882207,1.1622955218542206,0
安徽,2006,158.87669850990852,0.02406274778267781,2.6002732980345096,0
安徽,2007,213.756901735834,0.02646161199997945,3.4939016302032364,0
安徽,2008,293.29628612420646,0.030264186697643886,4.780705560296764,0
安徽,2009,329.89168662260124,0.02981856106429377,5.380715815080758,0
安徽,2010,355.979823195038,0.026418581864770606,5.9758237904152764,0
安徽,2011,382.3218910042251,0.02312519376775875,6.4019070831250025,0
安徽,2012,416.7548243854165,0.022389682029119222,6.971475817755378,0
安徽,2013,446.6122145478797,0.021381077093664352,7.458453816764858,0
安徽,2014,464.32200237139705,0.02029317295237458,7.742571325185876,0
安徽,2015,460.09681932437775,0.01905738874791874,7.6542475349256,0
安徽,2016,476.09268179607466,0.017763856909245656,7.891474917886203,0
安徽,2017,479.0915878687301,0.015894591161401444,7.909717481735679,0
安徽,2018,406.672109304398,0.011829669849127127,6.6930893565569125,0
安徽,2019,417.3995458071375,0.011105541224301777,6.851601211541981,0
山东,2003,329.2292539460377,,,0
山东,2004,240.58749946274145,,,0
山东,2005,457.298298419325,0.028366797041066257,4.944834541731455,0
山东,2006,711.4644482206792,0.037086345299243074,7.642759138690291,0
山东,2007,791.4984825072976,0.03442120865890964,8.449861028155201,0
山东,2008,828.3702368802443,0.030166212805450954,8.796540691093174,0
山东,2009,840.6153012706957,0.028060543083822775,8.876613529785594,0
山东,2010,877.2558984838504,0.025479848573714627,9.149519174841993,0
山东,2011,918.9630115352452,0.023193251515199766,9.508153249200674,0
山东,2012,921.3024178803242,0.021138401164647,9.490136154515083,0
山东,2013,929.206752840028,0.019335070525884877,9.534237152062673,0
山东,2014,1006.0640014721872,0.019515253351855232,10.257585659382006,0
山东,2015,974.5724322028968,0.017353775829792445,9.878090737917057,0
山东,2016,1135.5175529457233,0.019019566198887877,11.385917506725391,0
山东,2017,945.256021861068,0.014779185627281836,9.421469369690701,0
山东,2018,658.2203621235418,0.009699052258968499,6.531907930173086,0
山东,2019,756.1473675790406,0.01049850352699076,7.482162750633689,0
山西,2003,110.06295726294644,,,0
山西,2004,78.9056085455394,,,0
山西,2005,256.2741127628004,0.06223266458542993,7.638572660590177,0
山西,2006,296.52396108464444,0.062311967782092685,8.785895143248725,0
山西,2007,404.4237872441112,0.06749508290260373,11.919357124789604,0
山西,2008,405.3051596189426,0.055553216867093747,11.882297262355396,0
山西,2009,397.5531030549768,0.05497747304112413,11.600615788006326,0
山西,2010,407.91818109245423,0.04530159154783211,11.413491356811814,0
山西,2011,453.0349978830458,0.04116591379297287,12.718556931023183,0
山西,2012,451.4252755755702,0.0381926170355906,12.723373043279882,0
山西,2013,452.75287850889424,0.03719687133446937,12.807719335470843,0
山西,2014,482.4425413796152,0.03920066152430448,13.674675209172767,0
山西,2015,484.96512661414783,0.04029254713853722,13.781333521288657,0
山西,2016,472.2079997999861,0.03883257537355664,13.437905515082132,0
山西,2017,546.844183692235,0.03725325011017262,15.579606372998148,0
山西,2018,404.2631231630455,0.025026968393871488,11.543778502656926,0
山西,2019,333.77626408676446,0.01928116596885012,9.544645813175993,0
广东,2003,253.8683847755243,,,0
广东,2004,211.2173951990207,,,0
广东,2005,304.01667261440326,0.013592744046320247,3.306685584233231,0
广东,2006,316.598111329759,0.011990944674290481,3.3530831532488774,0
广东,2007,359.4098877816056,0.011124313656827325,3.7205992523975735,0
广东,2008,409.909437216832,0.010974376858140423,4.1434290631439605,0
广东,2009,423.9184988590762,0.010541119484655899,4.184782812034316,0
广东,2010,480.0405277680193,0.010252609982380225,4.597648958605682,0
广东,2011,520.7687678523308,0.009642151910999727,4.841658310267114,0
广东,2012,507.90520120076513,0.008748298262428436,4.600173908167423,0
广东,2013,518.6074119503478,0.008134086793988261,4.601662927687203,0
广东,2014,603.7245742834046,0.00867502628530011,5.254805242261335,0
广东,2015,605.7341770802095,0.007989023817741431,5.186968462752265,0
广东,2016,636.4867102256748,0.007623197884212103,5.3450345165071775,0
广东,2017,179.55781439549534,0.0019306295416526387,1.478937603125734,0
广东,2018,626.4664669591352,0.006149309767659822,5.073424578548228,0
广东,2019,630.7705650135033,0.005709979306365396,5.050609056077374,0
广西,2003,73.02586467310086,,,0
广西,2004,33.31836033963035,,,0
广西,2005,74.40785478741806,,1.5967350812750658,0
广西,2006,86.11436465286339,,1.8248434976237207,0
广西,2007,104.16878130823277,,2.1847479301223314,0
广西,2008,69.76448334386758,,1.4485980760769848,0
广西,2009,134.38076338284904,,2.7673139082135303,0
广西,2010,158.03691923791288,,3.4281327383495204,0
广西,2011,211.5671444666667,,4.544944027210885,0
广西,2012,225.1571308209325,,4.796700699210322,0
广西,2013,231.95665859115377,,4.902909714461082,0
广西,2014,191.8445582073083,,4.021898494912124,0
广西,2015,107.24497555481018,,2.2291618282022485,0
广西,2016,30.11289697912732,,0.6199896433833091,0
广西,2017,41.71791310550226,,0.8501714511005148,0
广西,2018,180.4581021653833,,3.647829031036655,0
广西,2019,95.79198615809952,,1.922761665156554,0
新疆,2003,28.182232884256404,,,0
新疆,2004,43.00608004107198,,,0
新疆,2005,56.73690950033858,,2.8227318159372428,0
新疆,2006,48.42372442620693,,2.3621328988393624,0
新疆,2007,61.775263128085165,,2.9486999106484566,0
新疆,2008,92.4435949373007,,4.338038242013172,0
新疆,2009,89.95199736837753,,4.166373199091132,0
新疆,2010,198.9805244686208,,9.106660158746948,0
新疆,2011,206.78083664528455,,9.293520748102678,0
新疆,2012,265.3486175459401,,11.777568466308926,0
新疆,2013,297.213864619434,,13.007171318137155,0
新疆,2014,196.09378024031608,,8.434141085604994,0
新疆,2015,130.41419297402695,,5.468100334340752,0
新疆,2016,37.458841034630055,,1.5427858745729017,0
新疆,2017,34.089330642222784,,1.3745697839605961,0
