province,year,emission_total_mt,emission_per_gdp_t_per_10k_cny,per_capita_t
上海,2003,136.97880163156708,,
上海,2004,148.7175914298788,,
上海,2005,158.93902088128522,1.6910565272299147,8.409472004300806
上海,2006,165.24314560321343,1.5264391671736237,8.413602118289889
上海,2007,174.77467924559377,1.3260799044415983,8.467765467325279
上海,2008,178.15461035294973,1.1975089926998523,8.321093430777662
上海,2009,179.0588244317502,1.106571893851893,8.102209250305439
上海,2010,195.5030960203689,1.0671799385377896,8.48906192012023
上海,2011,201.49475638880847,0.9874241348851984,8.552409014805114
上海,2012,195.9264595276622,0.8997812138180298,8.167005399235606
上海,2013,207.6336928198307,0.8720660445867209,8.481768497542104
上海,2014,194.22001513945983,0.7480213951335856,7.872720516394804
上海,2015,195.32384834447143,0.7020582868867048,7.946454367146926
上海,2016,194.70985091740374,0.6288285742991152,7.892576040429823
上海,2017,196.15357202830774,0.5705737980886424,7.954321655649138
上海,2018,190.64166713556907,0.5047556524660876,7.702693621639154
上海,2019,192.9122403245068,0.4793898798358568,7.775584051773753
云南,2003,34.92856783561826,,
云南,2004,24.32519174389267,,
云南,2005,39.52292414838263,1.112287849277647,0.8881555988400591
云南,2006,46.812714267084836,1.1259281397668144,1.0442273983289057
云南,2007,46.52912189272369,0.9006798662935286,1.0307736351954737
云南,2008,49.82160197304055,0.813998659821595,1.0966674438265585
云南,2009,48.26564994022908,0.7214380727067814,1.0559100840128874
云南,2010,50.39335858247346,0.640330354673801,1.095031694534408
云南,2011,53.02951498109692,0.5486076739680218,1.1478249995908425
云南,2012,56.420427619008166,0.5007893240816255,1.2183206136689304
云南,2013,98.14017924512666,0.7533597854082034,2.1146343297807944
云南,2014,67.92155315109673,0.47580439472295627,1.4597367967138777
云南,2016,55.016777407366334,0.3279962405647347,1.1763262220946404
云南,2017,47.20799744532082,0.250246479889957,1.0059236617370726
云南,2018,59.66091258634796,0.27843151364530605,1.2685713924377622
云南,2019,94.82590705916928,0.39672625860978444,2.011580548561079
内蒙,2003,11.332778200597836,,
内蒙,2004,22.624700908390007,,
内蒙,2005,148.7758738207907,,
内蒙,2006,211.38662680282823,,
内蒙,2007,275.76522564827553,,
内蒙,2008,316.16910563280237,,
内蒙,2009,385.40086936980003,,
内蒙,2010,554.4141717572238,,
内蒙,2011,631.6783387854939,,
内蒙,2012,711.7525342612042,,
内蒙,2013,726.2636517123251,,
内蒙,2014,743.5439545937778,,
内蒙,2015,827.2705388781776,,
内蒙,2016,727.2193047272531,,
内蒙,2017,809.7295415230982,,
内蒙,2018,732.6490583479566,,
内蒙,2019,872.2619962641561,,
北京,2003,81.95178762327873,,
北京,2004,88.13363242789279,,
北京,2005,92.12050896786253,1.257205952559742,5.989629971902636
北京,2006,96.66792509249613,1.1215807712410648,6.037971586039733
北京,2007,102.88992150651751,0.9588638029012666,6.139016796331593
