province,year,scenario_name,clean_ratio,green_rate,predicted_emission_per_gdp
上海,2023,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2023,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2023,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
上海,2024,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2024,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2024,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
上海,2025,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2025,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2025,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
上海,2026,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2026,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2026,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
上海,2027,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2027,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2027,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
上海,2028,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2028,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2028,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
上海,2029,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2029,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2029,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
上海,2030,baseline,0.8627072508054741,0.381,0.004412403650726973
上海,2030,clean_plus5pp,0.9127072508054741,0.381,0.0022899464976904715
上海,2030,green_plus2pp,0.8827072508054741,0.401,0.0027142919017894823
云南,2023,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2023,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2023,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
云南,2024,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2024,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2024,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
云南,2025,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2025,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2025,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
云南,2026,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2026,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2026,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
云南,2027,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2027,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2027,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
云南,2028,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2028,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2028,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
云南,2029,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2029,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2029,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
云南,2030,baseline,0.5976832637295291,0.431,0.013539622573331595
云南,2030,clean_plus5pp,0.6476832637295291,0.431,0.011417165420295094
云南,2030,green_plus2pp,0.6176832637295291,0.451,0.011841510824394105
北京,2023,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2023,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2023,green_plus2pp,1.0,0.518,-0.007232088781934166
北京,2024,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2024,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2024,green_plus2pp,1.0,0.518,-0.007232088781934166
北京,2025,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2025,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2025,green_plus2pp,1.0,0.518,-0.007232088781934166
北京,2026,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2026,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2026,green_plus2pp,1.0,0.518,-0.007232088781934166
北京,2027,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2027,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2027,green_plus2pp,1.0,0.518,-0.007232088781934166
北京,2028,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2028,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2028,green_plus2pp,1.0,0.518,-0.007232088781934166
北京,2029,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2029,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2029,green_plus2pp,1.0,0.518,-0.007232088781934166
北京,2030,baseline,0.9943625801136758,0.498,-0.006143656250963301
北京,2030,clean_plus5pp,1.0,0.498,-0.00638295989421128
北京,2030,green_plus2pp,1.0,0.518,-0.007232088781934166
吉林,2023,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2023,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2023,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
