province,year,energy_index,eco_index,efficiency_index
上海,2005,1.6229038869949417,,0.5090354111703055
上海,2006,1.7023749819555818,0.5760896256441614,0.7011017967266606
上海,2007,1.6572707312767752,0.5304919558670214,0.8238757619630143
上海,2008,1.7507495055770512,,0.8700945185363791
上海,2009,1.8761425768392506,,0.946841276408198
上海,2010,1.651459194068725,0.09574300584205866,0.9256672466418783
上海,2011,1.509154039182936,-0.08846415578297,0.9095288633463294
上海,2012,1.648343350507477,-0.1896409446628974,0.9248108939477949
上海,2013,1.620404475561551,-0.19452421760638486,0.8883926427358267
上海,2014,1.523990425437948,-0.26205042414804275,0.8938001894865848
上海,2015,1.5433029142407932,-0.21720404103357432,0.8767840343715663
上海,2016,1.653969180261302,-0.4093415775636289,0.7163875980629141
上海,2017,1.5726941525860314,-0.6187107268299229,0.5687520058864647
上海,2018,1.4396530148378357,-1.4759521405380795,0.6437942323799039
上海,2019,1.4209355351907649,-1.6547410407375316,0.5958919479452337
云南,2005,-1.0816882756266215,,0.9407363870695682
云南,2006,-0.9445177035741372,-1.9278589834548734,1.00000143483277
云南,2007,-0.9277113694568807,-1.1612870126332728,1.1340877497764656
云南,2008,-0.9379736030749735,-1.0035317245324429,1.1918955029525244
云南,2009,-0.9431365177791514,-0.20368321149120308,1.2645841464691936
云南,2010,-0.8119353283138875,-0.1031078524452931,1.3694366442549586
云南,2011,-0.7133141726592676,0.031731708052590256,1.398868501699402
云南,2012,-0.7172142907042175,0.06802338232473401,1.3804960321026887
云南,2013,-1.0652364602729694,-0.3472919277684728,1.0293267914119857
云南,2014,-0.9066994181731104,-0.3385242833352148,1.2111347965219246
云南,2016,-0.9969726744002916,-0.651914364268005,1.0645577345312573
云南,2017,-0.9593613935265491,-0.6913145366109854,0.9397177659423797
云南,2018,-1.1551072313908555,-0.303872499522547,1.018084005464454
云南,2019,-1.1444103700704071,-0.58538192806035,0.753740689209921
内蒙,2005,,,
内蒙,2006,,,
内蒙,2007,,,
内蒙,2008,,,
内蒙,2009,,,
内蒙,2010,,,
内蒙,2011,,,
内蒙,2012,,,
内蒙,2013,,,
内蒙,2014,,,
内蒙,2015,,,
内蒙,2016,,,
内蒙,2017,,,
内蒙,2018,,,
内蒙,2019,,,
北京,2005,0.9769933565788754,,0.8326426200853256
北京,2006,1.0463818646124876,2.12200572343574,1.0032458570587293
北京,2007,1.1322350740601632,0.17162975042756473,1.0916586171593787
