province,energy_index,eco_index,efficiency_index,synergy_score,cluster_type
上海,1.1496058763109334,-1.519447228694142,0.3953335149317341,0.122608236395651,0
云南,-0.9595583829291412,0.1718341923812621,0.9166053019489576,-0.057291504872590604,2
北京,2.197370337856707,2.4381512966223045,0.8877537647790629,1.876719653563093,1
吉林,0.004332319142480855,0.0365316786952296,0.44616383648461755,0.14654158221094649,2
四川,0.6118944942977221,0.3071367060672946,0.9955225909204407,0.6355555868154095,1
天津,0.814962021088391,-1.4179703434296178,-0.11000054880006706,-0.13240645923354902,0
安徽,-0.5250815619929854,0.915998017654437,-0.2945843032626367,-0.023608510479654107,2
山东,0.2581764315703042,0.4086135913318152,-0.4511096590415871,0.09052175231519008,2
山西,-1.4084030624565689,0.47626484817483516,-1.296923723255716,-0.8095588875068918,3
广东,1.13459223899602,0.6792186187038839,0.7285158961067012,0.8761572500415835,1
江苏,0.06269579343140347,0.5100904765963433,-0.06797594214965932,0.15771267770656658,2
江西,-0.6558074487989267,1.3557311871340463,-0.10352020902802767,0.1133403139122349,2
河北,-1.7438198779095933,0.4086135913318152,-2.2530555497351026,-1.2508605386848235,3
河南,-0.05240899587485095,-0.7752834034209672,-0.22380593449548106,-0.32069039972487484,0
浙江,1.8598722581652485,-0.16642209183381915,0.2686289419103665,0.7746109582890636,1
海南,1.6113773312278683,-0.06494520656929477,1.2360374322950938,0.9958786002088871,1
湖北,-0.7675652116752403,0.10418293553824584,0.2443809627088046,-0.202456915195981,2
湖南,-0.453941889115576,-0.09877083499080289,0.8062860305069264,0.030677803008606647,2
甘肃,-0.0887335710180926,-2.1621341687027966,-0.05209094004508772,-0.6997609610316023,0
福建,0.42305377630112595,0.5100904765963433,0.6329433195549325,0.5121316493658331,2
贵州,-0.45291061241697894,-0.16642209183381915,1.0884879386540534,0.09545550907927869,2
辽宁,-0.3439921194102573,-0.5723296328919166,-0.9653231284020625,-0.5988926761522967,0
重庆,0.32485271266334625,0.6792186187038839,0.46694812906654787,0.473791109396468,2
陕西,-0.7723768661789882,0.002706050273721476,-3.0425057616835174,-1.220890659894534,3
青海,0.40694395224049196,-2.060657283438272,-0.2527119599692915,-0.5312331921260722,0
