province,year,clean_ratio,green_rate,emission_per_gdp,Δenergy,Δgreen,Δemission
天津,2018,0.773938679622901,0.38,0.011508139016709258,0.00963054805705399,0.01200000000000001,-4.0524219528027816e-05
天津,2019,0.777969857155974,0.375,0.01124099358038269,0.004031177533073027,-0.0050000000000000044,-0.0002671454363265685
天津,2020,0.772990962035123,0.376,0.008252284246930613,-0.004978895120851035,0.0010000000000000009,-0.002988709333452076
天津,2021,0.812369650578712,0.3829999999999999,0.0063393944401350134,0.03937868854358906,0.006999999999999895,-0.0019128898067956
天津,2022,0.820658060765862,0.384,0.005933122003408554,0.008288410187149986,0.001000000000000112,-0.00040627243672645974
宁夏,2005,0.425911730313835,,,,,
宁夏,2006,0.484950915080127,,,0.059039184766292,,
宁夏,2007,0.571862255438716,,,0.08691134035858905,,
宁夏,2008,0.500198365355701,,,-0.0716638900830151,,
宁夏,2009,0.49711866019368,,,-0.0030797051620209404,,
宁夏,2010,0.5190177802969931,,,0.021899120103313074,,
宁夏,2011,0.519144253376022,,,0.00012647307902891036,,
宁夏,2012,0.531045072512662,,,0.011900819136639984,,
宁夏,2013,0.522195431383875,,,-0.008849641128786945,,
宁夏,2014,0.502909899449629,,,-0.01928553193424598,,
宁夏,2015,0.479161097301785,,,-0.023748802147844028,,
宁夏,2016,0.485804294901102,,,0.0066431975993169745,,
宁夏,2017,0.44147605375273,,,-0.04432824114837197,,
宁夏,2018,0.446733865821763,,,0.005257812069032974,,
宁夏,2019,0.46004291676125,,,0.013309050939486977,,
宁夏,2020,0.475464991243787,,,0.015422074482537018,,
宁夏,2021,0.470309880264072,,,-0.005155110979714994,,
宁夏,2022,0.486396376930878,,,0.016086496666806005,,
安徽,2005,0.6794768078284921,,0.012345746209882207,,,
安徽,2006,0.346898184086285,0.326,0.02406274778267781,-0.3325786237422071,,0.011717001572795604
安徽,2007,0.349946563720559,0.361,0.02646161199997945,0.003048379634274012,0.034999999999999976,0.002398864217301639
安徽,2008,0.3669096760617509,0.36,0.030264186697643886,0.01696311234119191,-0.0010000000000000009,0.003802574697664436
安徽,2009,0.383640677493733,0.372,0.02981856106429377,0.016731001431982084,0.01200000000000001,-0.000445625633350117
安徽,2010,0.3728906169407889,0.375,0.026418581864770606,-0.010750060552944085,0.0030000000000000027,-0.0033999791995231628
安徽,2011,0.395413871218404,0.395,0.02312519376775875,0.02252325427761509,0.020000000000000018,-0.0032933880970118547
安徽,2012,0.440372496010106,0.3879999999999999,0.022389682029119222,0.044958624791701984,-0.007000000000000117,-0.0007355117386395292
安徽,2013,0.478886786828729,0.3989999999999999,0.021381077093664352,0.03851429081862301,0.01100000000000001,-0.0010086049354548696
安徽,2014,0.4956299555907429,0.412,0.02029317295237458,0.016743168762013927,0.013000000000000067,-0.0010879041412897722
安徽,2015,0.501452669419,0.412,0.01905738874791874,0.005822713828257109,0.0,-0.0012357842044558413
安徽,2016,0.521962282872984,0.417,0.017763856909245656,0.020509613453983944,0.0050000000000000044,-0.001293531838673083
安徽,2017,0.5615274600635061,0.422,0.015894591161401444,0.039565177190522105,0.0050000000000000044,-0.001869265747844212
安徽,2018,0.5998847992692959,0.425,0.011829669849127127,0.038357339205789875,0.0030000000000000027,-0.004064921312274317
安徽,2019,0.612449780280386,0.427,0.011105541224301777,0.012564981011090048,0.0020000000000000018,-0.0007241286248253504
安徽,2020,0.600973748088807,0.42,0.010221293915195927,-0.011476032191579,-0.007000000000000006,-0.0008842473091058498
安徽,2021,0.625536219534625,0.441,0.008272309373550805,0.024562471445818024,0.02100000000000002,-0.001948984541645122
安徽,2022,0.6522768208088949,0.4529999999999999,0.006658931237453488,0.026740601274269915,0.0119999999999999,-0.001613378136097317
山东,2005,0.474471214356398,,0.028366797041066257,,,
山东,2006,0.492067401707971,0.375,0.037086345299243074,0.01759618735157298,,0.008719548258176817
山东,2007,0.507830075901199,0.386,0.03442120865890964,0.01576267419322802,0.01100000000000001,-0.0026651366403334376
山东,2008,0.493181958899893,0.3979999999999999,0.030166212805450954,-0.014648117001305971,0.0119999999999999,-0.004254995853458683
山东,2009,0.5036744880089861,0.412,0.028060543083822775,0.01049252910909304,0.014000000000000068,-0.0021056697216281783
山东,2010,0.5037102120431429,0.415,0.025479848573714627,3.5724034156858764e-05,0.0030000000000000027,-0.002580694510108148
山东,2011,0.515136999236542,0.415,0.023193251515199766,0.011426787193399068,0.0,-0.002286597058514861
山东,2012,0.510942779309606,0.421,0.021138401164647,-0.004194219926936027,0.006000000000000005,-0.002054850350552768
山东,2013,0.5248332727370411,0.426,0.019335070525884877,0.013890493427435091,0.0050000000000000044,-0.0018033306387621219
