province,year,clean_ratio,green_rate,emission_per_gdp
北京,2005,0.6428061833681931,,0.012572059525597418
北京,2006,0.66809467053915,0.444,0.011215807712410647
北京,2007,0.6941708388323591,0.362,0.009588638029012667
北京,2008,0.756916173111034,0.372,0.008153533910855102
北京,2009,0.763541956597942,0.477,0.007527711230450466
北京,2010,0.783378076277844,,0.006811822889012322
北京,2011,0.836329086241937,0.456,0.005399037235072597
北京,2012,0.8484359147081539,0.462,0.005007999891734909
北京,2013,0.875318036569688,0.471,0.004325897932264196
北京,2014,0.889589511083207,0.491,0.003955273013165363
北京,2015,0.9088019788479073,0.484,0.0035631343602090105
北京,2016,0.9272472738101007,0.484,0.0031640619033618308
北京,2017,0.9558550575656056,0.484,0.0027313017155007166
北京,2018,0.9836766655541742,0.484,0.0025143786396983154
北京,2019,0.9878618970854436,0.485,0.002334191934473428
吉林,2005,0.4854824157020769,,0.031549854645154286
吉林,2006,0.4625906883481859,0.316,0.03257435031256077
吉林,2007,0.497940510695452,0.313,0.03732743975084974
吉林,2008,0.465886568463808,0.315,0.03496217806648496
吉林,2009,0.449693145315886,0.3279999999999999,0.03077201270058229
吉林,2010,0.450418675848824,0.341,0.02697814180582075
吉林,2011,0.429636913723468,0.342,0.026852308130072416
吉林,2012,0.447736318369949,0.3389999999999999,0.024027313242691268
吉林,2013,0.4928398092123089,0.314,0.02064688081250823
吉林,2014,0.506486373783933,0.358,0.020329780155109348
吉林,2015,0.5275027408656869,0.361,0.019162664556883747
吉林,2016,0.5397085048677159,0.35,0.017365651042758643
吉林,2017,0.6082479782028469,0.358,0.015448056063254136
吉林,2018,0.662132168840821,0.376,0.009780072420139065
吉林,2019,0.647530841896331,0.392,0.006854466526743282
四川,2005,0.523080085190532,,0.011069072367193959
四川,2006,0.535782204894995,0.335,0.012264346291512587
四川,2007,0.544914287207573,0.342,0.01436694543774598
四川,2008,0.4735559461579329,0.353,0.011914653211185355
四川,2009,0.481675094121583,0.364,0.012868843327098292
四川,2010,0.492995922728877,0.379,0.011459541425412355
四川,2011,0.603146817605989,0.382,0.012984294972867379
四川,2012,0.56131841786223,0.387,0.012685664636925444
四川,2013,0.596450402152639,0.384,0.010706983037311614
四川,2014,0.625369472303582,0.375,0.008679540573820676
四川,2015,0.651828765662356,0.387,0.007715753098786125
四川,2016,0.6982785205490329,0.3989999999999999,0.007724614249106657
四川,2017,0.717252972550921,0.4,0.005255888848702248
四川,2018,0.7054880274711339,0.405,0.0039008355503053213
四川,2019,0.7216565682681431,0.418,0.002859530889869439
天津,2005,0.621555669848046,,0.027775755305571966
天津,2006,0.593991087673015,0.37,0.026587814354170743
天津,2007,0.59349860008421,,0.02445677668845251
天津,2008,0.592315327430128,,0.020883657277021885
天津,2009,0.573748179961745,0.303,0.020990795289531763
天津,2010,0.687167773640371,0.321,0.01990281193147343
天津,2011,0.6925285250991791,0.345,0.018722622961526127
天津,2012,0.686087146697512,0.349,0.01743993917075549
天津,2013,0.665495903329629,0.349,0.015845985577093876
天津,2014,0.6808819199298,0.349,0.014708552385701382
天津,2015,0.712939104289747,0.364,0.014174878900300834
天津,2016,0.736479616197639,0.372,0.012966477964110662
天津,2017,0.764308131565847,0.368,0.011548663236237286
天津,2018,0.773938679622901,0.38,0.011508139016709258
天津,2019,0.777969857155974,0.375,0.01124099358038269
宁夏,2005,0.425911730313835,,
宁夏,2006,0.484950915080127,,
宁夏,2007,0.571862255438716,,
宁夏,2008,0.500198365355701,,
宁夏,2009,0.49711866019368,,
宁夏,2010,0.5190177802969931,,
宁夏,2011,0.519144253376022,,
宁夏,2012,0.531045072512662,,
宁夏,2013,0.522195431383875,,
宁夏,2014,0.502909899449629,,
宁夏,2015,0.479161097301785,,
宁夏,2016,0.485804294901102,,
宁夏,2017,0.44147605375273,,
宁夏,2018,0.446733865821763,,
宁夏,2019,0.46004291676125,,
安徽,2005,0.6794768078284921,,0.012345746209882207
安徽,2006,0.346898184086285,0.326,0.02406274778267781
安徽,2007,0.349946563720559,0.361,0.02646161199997945
安徽,2008,0.3669096760617509,0.36,0.030264186697643886
安徽,2009,0.383640677493733,0.372,0.02981856106429377
安徽,2010,0.3728906169407889,0.375,0.026418581864770606
安徽,2011,0.395413871218404,0.395,0.02312519376775875
安徽,2012,0.440372496010106,0.3879999999999999,0.022389682029119222
安徽,2013,0.478886786828729,0.3989999999999999,0.021381077093664352
安徽,2014,0.4956299555907429,0.412,0.02029317295237458
安徽,2015,0.501452669419,0.412,0.01905738874791874
安徽,2016,0.521962282872984,0.417,0.017763856909245656
安徽,2017,0.5615274600635061,0.422,0.015894591161401444
安徽,2018,0.5998847992692959,0.425,0.011829669849127127
安徽,2019,0.612449780280386,0.427,0.011105541224301777
山东,2005,0.474471214356398,,0.028366797041066257
山东,2006,0.492067401707971,0.375,0.037086345299243074
山东,2007,0.507830075901199,0.386,0.03442120865890964
山东,2008,0.493181958899893,0.3979999999999999,0.030166212805450954
山东,2009,0.5036744880089861,0.412,0.028060543083822775
山东,2010,0.5037102120431429,0.415,0.025479848573714627
山东,2011,0.515136999236542,0.415,0.023193251515199766
山东,2012,0.510942779309606,0.421,0.021138401164647
山东,2013,0.5248332727370411,0.426,0.019335070525884877
山东,2014,0.512890843720506,0.428,0.019515253351855232
山东,2015,0.578953451804604,0.423,0.017353775829792445
山东,2016,0.636934237824951,0.423,0.019019566198887877
山东,2017,0.656424143034119,0.421,0.014779185627281836
山东,2018,0.69755145379135,0.418,0.009699052258968499
山东,2019,0.700040099525453,0.418,0.01049850352699076
山西,2005,0.247239901919186,,0.06223266458542993
山西,2006,0.266706844201425,0.319,0.062311967782092685
山西,2007,0.293096793711565,0.326,0.06749508290260373
山西,2008,0.305901762282155,0.352,0.055553216867093747
山西,2009,0.310961467529402,0.365,0.05497747304112413
山西,2010,0.3462650605706699,0.38,0.04530159154783211
山西,2011,0.3484226685798069,0.3829999999999999,0.04116591379297287
山西,2012,0.349943875478564,0.386,0.0381926170355906
山西,2013,0.3748260061109489,0.4,0.03719687133446937
山西,2014,0.380398618834433,0.401,0.03920066152430448
山西,2015,0.400346841053426,0.401,0.04029254713853722
山西,2016,0.398673187495329,0.405,0.03883257537355664
山西,2017,0.429154894059539,0.406,0.03725325011017262
山西,2018,0.4522035422323199,0.413,0.025026968393871488
山西,2019,0.467930604813607,0.423,0.01928116596885012
广东,2005,0.777737176642016,,0.013592744046320247
广东,2006,0.767668289094827,0.38,0.011990944674290481
广东,2007,0.762036645762298,0.385,0.011124313656827325
广东,2008,0.741138658334261,0.4029999999999999,0.010974376858140423
广东,2009,0.746376790881608,0.408,0.010541119484655899
广东,2010,0.745636163038039,0.413,0.010252609982380225
广东,2011,0.734080759886774,0.411,0.009642151910999727
广东,2012,0.7412221709851661,0.412,0.008748298262428436
广东,2013,0.771406653700082,0.415,0.008134086793988261
广东,2014,0.7607993255151431,0.414,0.00867502628530011
广东,2015,0.774607600799048,0.414,0.007989023817741431
广东,2016,0.67687930440246,0.424,0.007623197884212103
广东,2017,0.810311269344321,0.435,0.0019306295416526387
广东,2018,0.828372844514038,0.44,0.006149309767659822
广东,2019,0.824492681775974,0.433,0.005709979306365396
广西,2005,0.432049703436469,,
广西,2006,0.419193730076152,,
广西,2007,0.45253000178485,,
广西,2008,0.460122665094308,,
广西,2009,0.4337683710726919,,
广西,2010,0.5009587416932799,,
广西,2011,0.5179069799639611,,
广西,2012,0.517499346363428,,
广西,2013,0.516835943945557,,
广西,2014,0.538136171435459,,
广西,2015,0.55925553722843,,
广西,2016,0.553411075335667,,
广西,2017,0.576137729966826,,
广西,2018,0.59682352965428,,
广西,2019,0.612911899084019,,
新疆,2005,0.644768427887769,,
新疆,2006,0.644422131771316,,
新疆,2007,0.639079727759413,,
新疆,2008,0.6152240385961729,,
新疆,2009,0.557592490049212,,
新疆,2010,0.579765146013743,,
新疆,2011,0.581219647508995,,
新疆,2012,0.579612166833825,,
新疆,2013,0.667790657317691,,
新疆,2014,0.707303043841346,,
新疆,2015,0.718088193681832,,
新疆,2016,0.696570864029762,,
新疆,2017,0.684642533120037,,
新疆,2018,0.721334467577633,,
新疆,2019,0.7163712448543831,,
江苏,2005,0.537432036420897,,0.025674403236370526
江苏,2006,0.548836777313155,0.417,0.0231292968108514
江苏,2007,0.5479357280427131,0.428,0.021851945376612312
江苏,2008,0.54446393674124,0.426,0.018942868223406975
江苏,2009,0.558437763695798,0.42,0.01837439963698613
江苏,2010,0.592475252055433,0.421,0.016969638317571072
江苏,2011,0.579853173294981,0.421,0.016231659018896186
江苏,2012,0.608116491104732,0.422,0.015100777395350993
江苏,2013,0.629735343971222,0.424,0.014771874997243537
江苏,2014,0.6375440912758741,0.426,0.013588045815127237
江苏,2015,0.636768797772383,0.428,0.013271642273122485
江苏,2016,0.6512094300654869,0.429,0.011516055890182607
江苏,2017,0.6684393817877581,0.43,0.011023727857802416
江苏,2018,0.6986806368489871,0.431,0.007865287145736049
江苏,2019,0.6827143905801509,0.434,0.008129281337138874
江西,2005,0.4282077775555539,,0.0175390890616226
江西,2006,0.407975273730615,0.346,0.016290388869655274
江西,2007,0.3744782027926949,0.391,0.022950812262552352
江西,2008,0.370850326270986,0.418,0.023142990184244247
江西,2009,0.3561293442354539,0.444,0.022655827955953427
江西,2010,0.445966881554967,0.466,0.02052859415264617
江西,2011,0.435775143893472,0.4679999999999999,0.01824608034949133
江西,2012,0.4463586775013299,0.46,0.017234093627663878
江西,2013,0.48907330284785,0.451,0.016947388373367255
江西,2014,0.482277661391338,0.446,0.015142292715578733
江西,2015,0.480790510598013,0.441,0.014801913284505188
江西,2016,0.501764439290897,0.436,0.013967463716025292
江西,2017,0.5175568377134661,0.452,0.012446236159156862
江西,2018,0.5626132086086719,0.4589999999999999,0.010015900072119078
江西,2019,0.579156359536025,0.455,0.005786135633974639
河北,2005,0.2708990208405409,,0.052667386485787004
河北,2006,0.273500034701593,0.356,0.051941696675954774
河北,2007,0.288239289143675,0.365,0.04911257861117238
河北,2008,0.275853986102742,0.387,0.04511065240725297
河北,2009,0.2831127374636289,0.4,0.04294546439940505
河北,2010,0.3169521347820699,0.427,0.03519254402653421
河北,2011,0.329794389157678,0.421,0.03648276300131823
河北,2012,0.3248274521198939,0.41,0.03470849514146841
河北,2013,0.33357060709789,0.412,0.033555820191110024
河北,2014,0.34053564591058,0.419,0.03074525891683853
河北,2015,0.3628712058640659,0.412,0.028611687748222824
河北,2016,0.380812030269233,0.408,0.02740227041956828
河北,2017,0.411435153653479,0.418,0.023538801461337792
河北,2018,0.426692037817272,0.416,0.01968717862751464
河北,2019,0.430192064684234,0.423,0.015846415611126048
河南,2005,0.344742033710777,,0.03740036587643649
河南,2006,0.332326287700076,0.3279999999999999,0.04188491359949902
河南,2007,0.353458370517152,0.3429999999999999,0.03846609915503176
河南,2008,0.364875837520237,0.354,0.03392954181700911
河南,2009,0.359735519154207,0.363,0.03518606810267235
河南,2010,0.377754852929473,0.366,0.023576463796629556
河南,2011,0.4153352506705,0.366,0.02406539584793775
河南,2012,0.496491190800898,0.369,0.020970815589410264
河南,2013,0.559405089304245,0.376,0.019402567376385096
河南,2014,0.5377488058071089,0.3829999999999999,0.01626328938042053
河南,2015,0.55525947244843,0.377,0.014489385417423041
河南,2016,0.598236867343142,0.3929999999999999,0.01136478939981977
河南,2017,0.630682220271944,0.3939999999999999,0.006567992836071587
河南,2018,0.662036358708042,0.4,0.00969821628998645
河南,2019,0.681253922358651,0.41,0.008333020658964794
浙江,2005,0.660329127901619,,0.020720312471293408
浙江,2006,0.68300190820993,0.355,0.020276947502242487
浙江,2007,0.701814987148677,0.361,0.018751968584258635
浙江,2008,0.709096279032392,0.377,0.016764910283171224
浙江,2009,0.722827175809739,0.382,0.015898033717737615
浙江,2010,0.753424364421142,0.3829999999999999,0.014128922672597567
浙江,2011,0.765420322815016,0.384,0.013734662113918135
浙江,2012,0.774355518502739,0.3989999999999999,0.012636813505496997
浙江,2013,0.778142620062837,0.4029999999999999,0.011382185420652365
浙江,2014,0.776741462752554,0.408,0.01060295731582343
浙江,2015,0.784294252729361,0.406,0.009840452443342116
浙江,2016,0.8146106642015449,0.41,0.009019991269169912
浙江,2017,0.851890223402323,0.4039999999999999,0.008477875891558916
浙江,2018,0.872592702108616,0.412,0.007248964464204393
浙江,2019,0.8737277842686411,0.415,0.0064718776656446575
海南,2005,0.726911810276629,,0.0025952600273112915
海南,2006,0.9015825366786328,0.389,0.002711129480424242
海南,2007,0.9079697694322926,0.405,0.0023009791021935113
海南,2008,0.9042060999621442,0.421,0.0025155166218569316
海南,2009,0.871233276955473,0.419,0.0026279437326474143
海南,2010,0.891300750046415,0.426,0.0023432309698298045
海南,2011,0.9005455669072244,0.418,0.0017889883280669697
海南,2012,0.8874514026863161,0.412,0.001545167530658857
海南,2013,0.9012285947899448,0.421,0.0015538742544301068
海南,2014,0.9069620861169304,0.413,0.0015228593744946064
海南,2015,0.91633083612211,0.377,0.0013559884655345465
海南,2016,0.9048532371914616,0.4029999999999999,0.0009864120381278744
海南,2017,0.9008039792357024,0.401,0.0011290436956147296
海南,2018,0.898189243365307,0.406,0.001071951197064346
海南,2019,0.9024600360130278,0.417,0.0010899357031336411
湖北,2005,0.421227318688566,,0.022381841529090486
湖北,2006,0.450812303511977,0.371,0.024829213773425573
湖北,2007,0.458210248898633,0.376,0.021077148424270817
湖北,2008,0.478914122731386,0.376,0.019576881755952825
湖北,2009,0.466130557344416,0.3779999999999999,0.01950316247997587
湖北,2010,0.385088456551436,0.377,0.018257782974359024
湖北,2011,0.373872729148791,0.384,0.014038585796865505
湖北,2012,0.375246325281935,0.389,0.011469830353091213
湖北,2013,0.495991028619712,0.381,0.010958102263645462
湖北,2014,0.5174090094097881,0.379,0.010984261831151292
湖北,2015,0.528129320029534,0.375,0.010353620876393615
湖北,2016,0.5272731799069841,0.376,0.009113977633462864
湖北,2017,0.539078948584842,0.384,0.006841724726127388
湖北,2018,0.607109348469798,0.384,0.007770568009289532
湖北,2019,0.634201292855511,0.389,0.008961356879104663
湖南,2005,0.3162752329171799,,0.01791901525187635
湖南,2006,0.333929228819168,0.347,0.02060131773612311
湖南,2007,0.340923500738122,0.356,0.018666036538182395
湖南,2008,0.369678666233026,0.358,0.01582732324618872
湖南,2009,0.39940951522976,0.366,0.01678198143527803
湖南,2010,0.480510494819395,0.366,0.014663801717951971
湖南,2011,0.4903531891442769,0.368,0.014021436763453854
湖南,2012,0.498776285396189,0.37,0.010871303201627765
湖南,2013,0.542751903294138,0.376,0.010420778186663968
湖南,2014,0.5403147697919519,0.386,0.00707011534918758
湖南,2015,0.494816642322906,0.397,0.007868893523069286
湖南,2016,0.487083193719832,0.406,0.005687783435489196
湖南,2017,0.4530114967349,0.412,0.004729092299684835
湖南,2018,0.5275175343745739,0.412,0.003319501967799193
湖南,2019,0.547959400195799,0.412,0.002216849441601275
甘肃,2005,0.5056293815858091,,0.03522747948965745
甘肃,2006,0.512886000632607,0.286,0.028690033666462788
甘肃,2007,0.511431474428784,0.241,0.027563811982816273
甘肃,2008,0.5225831507835039,0.259,0.023614937313268112
甘肃,2009,0.540862015310464,0.273,0.028966766455344652
甘肃,2010,0.525082522407244,0.271,0.023761779787599052
甘肃,2011,0.5292076971137369,0.2789999999999999,0.020918479501824707
甘肃,2012,0.522341711415685,0.3,0.01973053231707871
甘肃,2013,0.59018575190167,0.321,0.019830011983853885
甘肃,2014,0.5828852064607479,0.308,0.019688170806490275
甘肃,2015,0.588238336870031,0.302,0.01820420132619945
甘肃,2016,0.602939526456244,0.315,0.010054779900757885
甘肃,2018,0.680432401455122,0.335,0.006208351538186953
甘肃,2019,0.679858867575322,0.36,0.004651267037039115
福建,2005,0.508596336066499,,0.007576806150101979
福建,2006,0.513366208412796,0.366,0.01106359531749794
福建,2007,0.546568581344328,0.37,0.015801911631056643
福建,2008,0.540473675313238,0.389,0.01724430711499163
福建,2009,0.51454532612902,0.397,0.012750885840958282
福建,2010,0.567698917938401,0.41,0.013269237389751285
福建,2011,0.5948231768125241,0.414,0.012740345232389047
福建,2012,0.591706196972734,0.42,0.01134507582967123
福建,2013,0.654134764866214,0.428,0.010816549002694723
福建,2014,0.7009836319356739,0.428,0.010064733205130823
福建,2015,0.680273179047101,0.43,0.008815568784846328
福建,2016,0.6877384235985771,0.433,0.0047565928237464855
福建,2017,0.7116271748056631,0.437,0.0007977843469641667
福建,2018,0.7142474941639481,0.4429999999999999,0.007072077285990471
福建,2019,0.72216925714821,0.445,0.006943260583009379
贵州,2005,0.2399444974204779,,0.02574179724843583
贵州,2006,0.252444844352002,0.294,0.03177587406441407
贵州,2007,0.314269325236165,0.305,0.029134932151079575
贵州,2008,0.341580873263416,0.298,0.037515714053234964
贵州,2009,0.328598676658143,0.2739999999999999,0.041055789754110256
贵州,2010,0.3146800775005119,0.296,0.026647379540211024
贵州,2011,0.328048304728384,0.3229999999999999,0.01903501506077863
贵州,2012,0.31323354467999,0.3279999999999999,0.023674635859406767
贵州,2013,0.3606690975061409,0.345,0.025258034526993392
贵州,2014,0.360614636428598,0.34,0.022677370576146803
贵州,2015,0.387396155124229,0.359,0.01897059762280384
贵州,2016,0.413023869799042,0.368,0.014382737936503328
贵州,2017,0.441773122792809,0.37,0.009784609210705493
贵州,2018,0.524499281827318,0.386,0.005453141274963196
贵州,2019,0.541715221942318,0.3939999999999999,0.007317719905045535
辽宁,2005,0.519346801409443,,0.02229124639058523
辽宁,2006,0.511474100512813,0.369,0.028743021192552027
辽宁,2007,0.488993117438092,0.375,0.027282210465407946
辽宁,2008,0.496591027942161,0.381,0.019865828923541103
辽宁,2009,0.4758581541790569,0.3829999999999999,0.029813999025799648
辽宁,2010,0.5349696773641279,0.3929999999999999,0.03107475007954528
辽宁,2011,0.5601582136566661,0.3979999999999999,0.02755810766408632
辽宁,2012,0.571632356241614,0.402,0.02573728231407189
辽宁,2013,0.558520500054885,0.402,0.02268891731735201
辽宁,2014,0.564792720219981,0.401,0.02246800986639539
辽宁,2015,0.59825699156829,0.4029999999999999,0.01409281260814799
辽宁,2016,0.6294511400654059,0.364,0.010941698635650072
辽宁,2017,0.6431741234791319,0.407,0.011643028228062305
辽宁,2018,0.6509600229471779,0.3989999999999999,0.009368569094201163
辽宁,2019,0.6559338400783741,0.408,0.005443882404324476
重庆,2005,0.498409020871439,,0.023383013832662742
重庆,2006,0.528057030518637,0.235,0.02279839298180781
重庆,2007,0.56765476387045,0.318,0.02049945219990236
重庆,2008,0.457903451044069,0.359,0.021116817744740474
重庆,2009,0.4441550484456,0.385,0.019732964609799755
重庆,2010,0.4699856189196509,0.406,0.01776286828845411
重庆,2011,0.485107314740288,0.402,0.016153194955802253
重庆,2012,0.493796373208861,0.429,0.014548969868088367
重庆,2013,0.5855832374595851,0.417,0.011232588757864547
重庆,2014,0.578686772357916,0.406,0.010924091785273121
重庆,2015,0.59770905939593,0.4029999999999999,0.01006977137800245
重庆,2016,0.6505063421331561,0.408,0.008569925996941643
重庆,2017,0.653857055353454,0.4029999999999999,0.007924157150189216
重庆,2018,0.693268540931544,0.4039999999999999,0.007344665049188565
重庆,2019,0.718930579579885,0.418,0.0065959189282100246
陕西,2005,0.414031848502762,,0.030985090076205382
陕西,2006,0.453679096776774,0.362,0.022457763228384393
陕西,2007,0.52845034594241,0.377,0.028441116186579768
陕西,2008,0.5388606319221629,0.387,0.019792093400202843
陕西,2009,0.4999318295496719,0.3879999999999999,0.024790247265536757
陕西,2010,0.517204251106294,0.3829999999999999,0.02710437313331107
陕西,2011,0.518480698972572,0.387,0.02375322554923816
陕西,2012,0.513439239314616,0.4039999999999999,0.02740116883492456
陕西,2013,0.5258876749634089,0.402,0.026455326130571187
陕西,2014,0.531500827685079,0.405,0.025214302547793516
陕西,2015,0.523594078051042,0.406,0.0291825178245713
陕西,2016,0.552706019226617,0.401,0.027682846880722017
陕西,2017,0.573489482031686,0.3989999999999999,0.026234553032817298
陕西,2018,0.602843224590799,0.3879999999999999,0.024205587746179626
陕西,2019,0.616537566872864,0.3929999999999999,0.023515983444187198
青海,2008,0.5960454975622931,0.282,0.020666268868259136
青海,2009,0.580943211364196,0.29,0.018637135822697687
青海,2010,0.671596759710311,0.294,0.01442703407303542
青海,2011,0.699964907503147,0.311,0.015548534043384292
青海,2012,0.684376401335588,0.325,0.0167727729725969
青海,2013,0.687988835538883,0.312,0.015984604937362677
青海,2014,0.6915707846685559,0.316,0.014134714517965085
青海,2015,0.676391011890649,0.298,0.011697226564401472
黑龙,2005,,,
黑龙,2006,,,
黑龙,2007,,,
黑龙,2008,,,
黑龙,2009,,,
黑龙,2010,,,
黑龙,2011,,,
黑龙,2012,,,
黑龙,2013,,,
黑龙,2014,,,
黑龙,2015,,,
黑龙,2016,,,
黑龙,2017,,,
黑龙,2018,,,
黑龙,2019,,,
上海,2020,0.859637555746511,0.373,0.004574392439504193
上海,2021,0.870117182709939,0.377,0.004066327032839425
上海,2022,0.8627072508054741,0.381,0.003946077527030387
云南,2020,0.534626885662882,0.405,0.002641204988731031
云南,2021,0.563556934131358,0.425,0.002188978224616338
云南,2022,0.5976832637295291,0.431,0.0018963636853882356
北京,2020,0.9893755973996126,0.49,0.0023624803632780454
北京,2021,0.9931778217441344,0.493,0.002049858340332631
北京,2022,0.9943625801136758,0.498,0.0020098119796613198
吉林,2020,0.6864677821736991,0.4039999999999999,0.005617038176862988
吉林,2021,0.711077357733185,0.411,0.004483565240334589
吉林,2022,0.718799556995608,0.427,0.0037462055672256183
四川,2020,0.741908942824886,0.425,0.002608620206640246
四川,2021,0.76269943934651,0.431,0.002201170421828454
四川,2022,0.7951419041365511,0.435,0.001586049826901247
天津,2020,0.772990962035123,0.376,0.008252284246930613
天津,2021,0.812369650578712,0.3829999999999999,0.0063393944401350134
天津,2022,0.820658060765862,0.384,0.005933122003408554
宁夏,2020,0.475464991243787,,
宁夏,2021,0.470309880264072,,
宁夏,2022,0.486396376930878,,
安徽,2020,0.600973748088807,0.42,0.010221293915195927
安徽,2021,0.625536219534625,0.441,0.008272309373550805
安徽,2022,0.6522768208088949,0.4529999999999999,0.006658931237453488
山东,2020,0.697645687032457,0.416,0.009553971877342797
山东,2021,0.726297143059889,0.43,0.007989996701005836
山东,2022,0.75069597211674,0.4379999999999999,0.007274410909092568
山西,2020,0.471787995393753,0.439,0.018925488371767787
山西,2021,0.475306303990052,0.437,0.01723940079318714
山西,2022,0.541284334141635,0.44,0.010600270543268436
广东,2020,0.826879066905744,0.435,0.003850293974871751
广东,2021,0.86546325297957,0.429,0.002695118112968364
广东,2022,0.860820733904631,0.446,0.002635957632774425
广西,2020,0.572143726781133,,
广西,2021,0.5822941282019001,,
广西,2022,0.586520353689046,,
新疆,2020,0.737519562421586,,
新疆,2021,0.739628203005714,,
新疆,2022,0.750735381393989,,
江苏,2020,0.701970632566771,0.435,0.007094235088258206
江苏,2021,0.723332114946224,0.437,0.005916857288480196
江苏,2022,0.7261331350172779,0.441,0.005767875350728958
江西,2020,0.593055689676989,0.4639999999999999,0.007802090083213368
江西,2021,0.623623295131492,0.469,0.006272030707237595
江西,2022,0.635850648412141,0.466,0.005907640397727764
河北,2020,0.427828724282293,0.429,0.019631994508310435
河北,2021,0.492007830389888,0.429,0.015291928914772651
河北,2022,0.499138018901254,0.4379999999999999,0.014359915104858024
河南,2020,0.668203360982793,0.419,0.0072705376034785585
河南,2021,0.6981604369887551,0.416,0.006566571700071257
河南,2022,0.711669809053054,0.4029999999999999,0.006380620755735248
浙江,2020,0.886468773321979,0.422,0.005379286886399538
浙江,2021,0.884606920521214,0.415,0.004748970109285303
浙江,2022,0.9519547466230154,0.421,0.004444297694684837
海南,2020,0.9097861586385304,0.406,0.0008038235629243426
海南,2021,0.9695307504997268,0.408,0.0007198261894100538
海南,2022,0.9207304756746644,0.424,0.0006403117076239341
湖北,2020,0.6310419161355441,0.411,0.0052725213945235185
湖北,2021,0.647521988441056,0.428,0.004651770747547859
湖北,2022,0.621807888217238,0.429,0.00453964415278818
湖南,2020,0.552632935033028,0.415,0.004020642152541005
湖南,2021,0.652185714699594,0.422,0.002563859143246135
湖南,2022,0.661215773601525,0.423,0.0023301545470968857
甘肃,2020,0.68570408675854,0.363,0.0075757722240408255
甘肃,2021,0.697779722059807,0.363,0.006613658452323552
甘肃,2022,0.707105497055481,0.362,0.0057054132925489715
福建,2020,0.7413072129754781,0.446,0.003388473886533143
福建,2021,0.764074026686708,0.4429999999999999,0.0029885113158554513
福建,2022,0.77141339660733,0.441,0.0030117624200630406
贵州,2020,0.555403255117507,0.409,0.004719614072862335
贵州,2021,0.625274026299975,0.418,0.002761602350158608
贵州,2022,0.661345357184806,0.421,0.0012204970293231857
辽宁,2020,0.6559897509370529,0.417,0.01181248766923623
辽宁,2021,0.672422875144252,0.418,0.009933162154550508
辽宁,2022,0.675031353027228,0.409,0.009296370454875877
重庆,2020,0.704341065866595,0.431,0.004592834422458608
重庆,2021,0.751251788960841,0.426,0.00387155321414836
重庆,2022,0.75907408386468,0.446,0.003664478811136064
陕西,2020,0.5981128124712249,0.408,0.017355508492744382
陕西,2021,0.610843958485116,0.418,0.016694147627397782
陕西,2022,0.621203286723813,0.426,0.0174641441596803
青海,2020,0.767858461193329,0.359,0.006830262150130609
青海,2021,0.760315248966042,0.348,0.007089510084219382
青海,2022,0.769389139945035,0.365,0.0064942833056682876
